module,number of nodes,tasks per node,iteration,mode,model,seed,person count,item count,iterations,burnin,batch size,mean,variance,unif,size,time in seconds,a correlation,g correlation,th correlation
openmpi,1,2,1,mpi,2pno,1493659,500,20,10000,5000,10,0,1,1,2,4.87,0.959893,0.994601,0.85255
openmpi,1,2,1,mpi,2pno,1493659,500,50,10000,5000,10,0,1,1,2,12.387,0.981511,0.995453,0.933716
openmpi,1,2,1,mpi,2pno,1493659,500,100,10000,5000,10,0,1,1,2,24.793,0.964344,0.993017,0.967307
openmpi,1,2,1,mpi,2pno,1493659,500,200,10000,5000,10,0,1,1,2,49.012,0.97597,0.994787,0.985863
openmpi,1,2,1,mpi,2pno,1493659,1000,20,10000,5000,10,0,1,1,2,9.863,0.982175,0.996747,0.852668
openmpi,1,2,1,mpi,2pno,1493659,1000,50,10000,5000,10,0,1,1,2,24.507,0.9818,0.996253,0.933403
openmpi,1,2,1,mpi,2pno,1493659,1000,100,10000,5000,10,0,1,1,2,49.391,0.988011,0.997549,0.968503
openmpi,1,2,1,mpi,2pno,1493659,1000,200,10000,5000,10,0,1,1,2,97.866,0.985771,0.997369,0.984926
openmpi,2,8,1,cuda-aware mpi,2pno,1493659,500,20,10000,5000,10,0,1,1,16,12.186,0.961612,0.99457,0.852765
openmpi,2,8,2,cuda-aware mpi,2pno,1493659,500,20,10000,5000,10,0,1,1,16,10.557,0.961345,0.994524,0.852861
openmpi,2,8,3,cuda-aware mpi,2pno,1493659,500,20,10000,5000,10,0,1,1,16,10.57,0.961634,0.994523,0.852775
openmpi,2,8,1,cuda-aware mpi,2pno,1493659,500,50,10000,5000,10,0,1,1,16,10.703,0.981473,0.995401,0.934208
openmpi,2,8,2,cuda-aware mpi,2pno,1493659,500,50,10000,5000,10,0,1,1,16,11.134,0.981662,0.995381,0.93421
openmpi,2,8,3,cuda-aware mpi,2pno,1493659,500,50,10000,5000,10,0,1,1,16,10.683,0.981659,0.995389,0.934201
openmpi,2,8,1,cuda-aware mpi,2pno,1493659,500,100,10000,5000,10,0,1,1,16,10.816,0.964331,0.992951,0.967426
openmpi,2,8,2,cuda-aware mpi,2pno,1493659,500,100,10000,5000,10,0,1,1,16,10.831,0.964411,0.992969,0.967437
openmpi,2,8,3,cuda-aware mpi,2pno,1493659,500,100,10000,5000,10,0,1,1,16,10.802,0.964431,0.992982,0.967411
openmpi,2,8,1,cuda-aware mpi,2pno,1493659,500,200,10000,5000,10,0,1,1,16,11.534,0.975928,0.995016,0.985839
openmpi,1,8,1,mpi,2pno,1493659,500,20,10000,5000,10,0,1,1,8,1.618,0.961085,0.99448,0.852664
openmpi,1,8,1,mpi,2pno,1493659,500,50,10000,5000,10,0,1,1,8,3.155,0.981422,0.995275,0.933826
openmpi,1,8,1,mpi,2pno,1493659,500,100,10000,5000,10,0,1,1,8,7.193,0.964567,0.993062,0.967304
openmpi,1,8,1,mpi,2pno,1493659,500,200,10000,5000,10,0,1,1,8,13.014,0.975729,0.994769,0.985805
openmpi,1,8,1,mpi,2pno,1493659,1000,20,10000,5000,10,0,1,1,8,2.496,0.983998,0.996716,0.853413
openmpi,1,8,1,mpi,2pno,1493659,1000,50,10000,5000,10,0,1,1,8,6.263,0.981494,0.996251,0.933479
openmpi,1,8,1,mpi,2pno,1493659,1000,100,10000,5000,10,0,1,1,8,12.869,0.988018,0.997581,0.968585
openmpi,1,8,1,mpi,2pno,1493659,1000,200,10000,5000,10,0,1,1,8,25.927,0.985471,0.99728,0.984959
openmpi,1,4,1,mpi,2pno,1493659,500,20,10000,5000,10,0,1,1,4,2.487,0.961933,0.994518,0.852896
openmpi,1,4,1,mpi,2pno,1493659,500,50,10000,5000,10,0,1,1,4,6.163,0.981359,0.995272,0.933642
openmpi,1,4,1,mpi,2pno,1493659,500,100,10000,5000,10,0,1,1,4,12.613,0.964296,0.993066,0.967366
openmpi,1,4,1,mpi,2pno,1493659,500,200,10000,5000,10,0,1,1,4,25.289,0.975662,0.994902,0.98581
openmpi,1,4,1,mpi,2pno,1493659,1000,20,10000,5000,10,0,1,1,4,4.896,0.982881,0.996737,0.853057
openmpi,1,4,1,mpi,2pno,1493659,1000,50,10000,5000,10,0,1,1,4,12.409,0.981269,0.996237,0.933589
openmpi,1,4,1,mpi,2pno,1493659,1000,100,10000,5000,10,0,1,1,4,25.374,0.988162,0.997564,0.968471
openmpi,1,4,1,mpi,2pno,1493659,1000,200,10000,5000,10,0,1,1,4,49.838,0.985667,0.997329,0.984925
openmpi,2,2,1,mpi,2pno,1493659,500,20,10000,5000,10,0,1,1,4,3.037,0.961933,0.994518,0.852896
openmpi,2,2,1,mpi,2pno,1493659,500,50,10000,5000,10,0,1,1,4,7.079,0.981359,0.995272,0.933642
openmpi,2,2,1,mpi,2pno,1493659,500,100,10000,5000,10,0,1,1,4,14.405,0.964296,0.993066,0.967366
openmpi,2,2,1,mpi,2pno,1493659,500,200,10000,5000,10,0,1,1,4,28.739,0.975662,0.994902,0.98581
openmpi,2,2,1,mpi,2pno,1493659,1000,20,10000,5000,10,0,1,1,4,5.528,0.982881,0.996737,0.853057
openmpi,2,2,1,mpi,2pno,1493659,1000,50,10000,5000,10,0,1,1,4,13.855,0.981269,0.996237,0.933589
openmpi,2,2,1,mpi,2pno,1493659,1000,100,10000,5000,10,0,1,1,4,28.815,0.988162,0.997564,0.968471
openmpi,2,2,1,mpi,2pno,1493659,1000,200,10000,5000,10,0,1,1,4,56.311,0.985667,0.997329,0.984925
openmpi,2,4,1,mpi,2pno,1493659,500,20,10000,5000,10,0,1,1,8,1.808,0.961085,0.99448,0.852664
openmpi,2,4,1,mpi,2pno,1493659,500,50,10000,5000,10,0,1,1,8,3.576,0.981422,0.995275,0.933826
openmpi,2,4,1,mpi,2pno,1493659,500,100,10000,5000,10,0,1,1,8,7.411,0.964567,0.993062,0.967304
openmpi,2,4,1,mpi,2pno,1493659,500,200,10000,5000,10,0,1,1,8,14.414,0.975729,0.994769,0.985805
openmpi,2,4,1,mpi,2pno,1493659,1000,20,10000,5000,10,0,1,1,8,2.828,0.983998,0.996716,0.853413
openmpi,2,4,1,mpi,2pno,1493659,1000,50,10000,5000,10,0,1,1,8,7.11,0.981494,0.996251,0.933479
openmpi,2,4,1,mpi,2pno,1493659,1000,100,10000,5000,10,0,1,1,8,14.251,0.988018,0.997581,0.968585
openmpi,2,4,1,mpi,2pno,1493659,1000,200,10000,5000,10,0,1,1,8,29.108,0.985471,0.99728,0.984959
openmpi,2,8,1,mpi,2pno,1493659,500,20,10000,5000,10,0,1,1,16,1.472,0.961763,0.994317,0.852959
openmpi,2,8,1,mpi,2pno,1493659,500,50,10000,5000,10,0,1,1,16,1.875,0.98116,0.995212,0.933956
openmpi,2,8,1,mpi,2pno,1493659,500,100,10000,5000,10,0,1,1,16,4.392,0.963905,0.992805,0.967247
openmpi,2,8,1,mpi,2pno,1493659,500,200,10000,5000,10,0,1,1,16,7.551,0.975599,0.994752,0.985729
openmpi,2,8,1,mpi,2pno,1493659,1000,20,10000,5000,10,0,1,1,16,1.465,0.980326,0.996654,0.852519
openmpi,2,8,1,mpi,2pno,1493659,1000,50,10000,5000,10,0,1,1,16,3.598,0.981262,0.996192,0.933356
openmpi,2,8,1,mpi,2pno,1493659,1000,100,10000,5000,10,0,1,1,16,7.468,0.988074,0.997568,0.96846
openmpi,2,8,1,mpi,2pno,1493659,1000,200,10000,5000,10,0,1,1,16,14.735,0.985599,0.99724,0.984927
openmpi,1,1,1,serial,2pno,1493659,500,20,10000,5000,10,0,1,1,1,9.153,0.959551,0.994469,0.852167
openmpi,1,1,1,serial,2pno,1493659,500,50,10000,5000,10,0,1,1,1,24.027,0.981765,0.995318,0.933766
openmpi,1,1,1,serial,2pno,1493659,500,100,10000,5000,10,0,1,1,1,48.595,0.964623,0.99302,0.967227
openmpi,1,1,1,serial,2pno,1493659,500,200,10000,5000,10,0,1,1,1,96.313,0.975722,0.99491,0.985733
openmpi,1,1,1,serial,2pno,1493659,1000,20,10000,5000,10,0,1,1,1,19.078,0.983688,0.996783,0.853447
openmpi,1,1,1,serial,2pno,1493659,1000,50,10000,5000,10,0,1,1,1,47.877,0.981506,0.996228,0.933372
openmpi,1,1,1,serial,2pno,1493659,1000,100,10000,5000,10,0,1,1,1,97.15,0.988069,0.997529,0.968568
openmpi,1,1,1,serial,2pno,1493659,1000,200,10000,5000,10,0,1,1,1,193.282,0.985595,0.997333,0.984917
openmpi,1,1,2,cuda,2pno,1493659,500,200,10000,5000,10,0,1,1,1,1.352,0.975765,0.994858,0.985769
openmpi,1,1,3,cuda,2pno,1493659,500,200,10000,5000,10,0,1,1,1,1.387,0.975765,0.994858,0.985769
